source_id,p,p_er,theta,theta_er,q,q_er,u,u_er,Rmag,exposure,airmass,N0,N1,N2,N3,sN0,sN1,sN2,sN3,bgr0,bgr1,bgr2,bgr3,inner_aperture0,inner_aperture1,inner_aperture2,inner_aperture3,apert0,apert1,apert2,apert3
IT_1626-0143889,0.01026,0.00244,-0.4462,0.1238,0.00644,0.00229,-0.00799,0.00254,15.44,460,1.265,281456,276155,293660,289262,999,1003,953,931,875.7,890.2,906,851.3,18.09,18.09,16.58,16.58,3.91,3.91,3.58,3.58
IT_1621-0143966,0.02572,0.00174,-0.56,0.0339,0.01121,0.0017,-0.02315,0.00175,14.82,372,1.266,441743,420463,434566,423993,1096,1034,1044,1022,1468.8,1255.3,1399.5,1324.6,14.61,14.61,13.95,13.95,3.87,3.87,3.69,3.69
IT_1626-0144653,0.01683,0.00223,-0.4038,0.0671,0.01163,0.00214,-0.01216,0.00231,15.71,610,1.272,284717,277028,290505,283195,924,915,873,865,878.7,867.7,876.4,862.7,16.22,16.22,14.89,14.89,3.58,3.58,3.29,3.29
IT_1625-0143076,0.01675,0.00346,-0.4562,0.1063,0.01025,0.00333,-0.01325,0.00353,15.71,301,1.377,142207,138070,139077,135955,698,701,651,645,447.1,458.6,457.2,450.3,17.59,17.59,15.94,15.94,3.58,3.58,3.24,3.24
IT_1624-0141583,0.02391,0.00218,-0.4438,0.0458,0.01509,0.00216,-0.01854,0.00219,15.47,714,1.423,439174,421898,449784,435445,1210,1438,1278,1416,1930.4,3103.2,2153.6,2852.9,14.79,14.79,15.04,15.04,3.55,3.55,3.61,3.61
IT_1625-0143948,0.01867,0.00231,-0.4576,0.0626,0.01138,0.00221,-0.0148,0.00237,14.93,276,1.271,325444,314989,314739,306975,1137,1012,944,999,1354.2,991.5,1059.9,1270.1,17,17,14.97,14.97,4.07,4.07,3.58,3.58
IT_1626-0144278,0.0189,0.00372,-0.4719,0.1011,0.01109,0.00345,-0.0153,0.00385,15.71,305,1.311,121794,117764,126617,123566,654,652,615,607,440.4,442.2,446.1,435.4,16.76,16.76,15.21,15.21,3.6,3.6,3.26,3.26
IT_1625-0143821,0.00335,0.00107,-0.3425,0.1707,0.0026,0.00103,-0.00212,0.00111,14.63,618,1.351,1073077,1065312,1079452,1071482,1683,1673,1577,1569,2454.5,2419.5,2445.6,2415.7,17,17,15.35,15.35,3.95,3.95,3.57,3.57
IT_1616-0132041,0.02273,0.00125,-0.4954,0.0276,0.01246,0.00124,-0.01902,0.00126,13.49,117,1.253,648516,622441,635457,618446,1140,1123,1107,1090,1153,1130.5,1162.5,1121.4,15.23,15.23,14.49,14.49,3.96,3.96,3.76,3.76
IT_1625-0144138,0.02183,0.00269,-0.7614,0.0623,0.00105,0.00265,-0.02181,0.00269,14.89,396,1.329,335845,320524,337319,335869,1250,1248,1266,1259,1212.6,1225.3,1224.3,1209.1,19.88,19.88,20.09,20.09,3.79,3.79,3.83,3.83
